name,code,state,zone,address,latitude,longitude
Mohadi Praganel,MAHD,,,,21.294083,79.726457
ANAIMALAI ROAD,ANM,,,,10.624894,76.935071
TANDARAI,TNI,,,,12.1180073562,79.1470127649
BANGARI,BGAR,,,,26.538089,84.921285
Tikauli Rawatpur,TKRP,Uttar Pradesh,NR,"Tikauli Rawatpur Railway Station, Uttar Pradesh",26.399047,80.613163
NAVALGUND RD,NVD,,,,15.434894,75.354461
LUSA,LUSA,Uttar Pradesh,NCR,"State Highway 5, Uttar Pradesh",24.876545999999998,82.843318
CHHANERA,CAER,Madhya Pradesh,WCR,"Chhanera, Madhya Pradesh",21.963965,76.707775
KOTDWARA,KTW,Uttarakhand,NR,"Kotdwara, Uttarakhand",29.742927896,78.52116372309999
BANGURGRAM HALT,BNGM,,,,26.1401115488,74.34824731079999
LACHHIPURA,LAC,,,,26.3236717828,74.65329374689999
Baraw More,BMHT,,,,25.0437938949,84.06203632569999
RANIPUR ROAD,RNRD,Uttar Pradesh,NCR,"Mau Ranipur, Uttar Pradesh",25.270917999999998,79.055869
Shirala,SIRL,,,,21.123835999999997,77.726017
TARSAI,TRSR,,,,21.764673,69.84803099999999
LAKHPAT,LAA,,,,23.597666,71.028821
Ghai Kalan,GKX,,,,30.822828,75.10891500000001
Gankhera Halt,GKT,,,,21.389118,80.191891
BARUANAGAR,BRNR,Assam,NFR,"Moran to Naharkatiya Rd, Assam",27.143953401599997,95.23363789119999
AMNAPUR,ANQ,,,,17.049464999999998,74.459554
NATHAPETTAI,NTT,Tamil Nadu,SR,"Nathapettai - Kaliyanoor Rd, Tamil Nadu",12.824069,79.75614999999999
NAKARDEI,NKU,,,,26.948686,84.89166900000001
RAMRUPNAGAR,RRNH,,,,26.790374,85.162249
PATTABIRAM WEST,PRWS,,,,13.120184,80.051876
Bahir Khanda,BAHW,West Bengal,ER,"State Highway 2, West Bengal",22.851949,88.071068
HARHAR FATEHPUR,HHP,,,,29.5622491051,77.38734198969999
Salar Khurd,SRKR,,,,26.447388357799998,84.273451449
UNAWA AITHOR,UAR,,,,23.759404,72.38511899999999
VIRANI ALUR,VRLR,Tamil Nadu,SR,"Kanyakumari, Tamil Nadu",8.1946448621,77.3686992383
Hiwarkheda,HKNT,,,,21.40605,78.067716
Gzka,GZKA,,,,27.607734,76.655091
Veraval Mg,VRLF,,,,20.913261,70.370599
Masaniwala,MSWA,,,,29.399942999999997,73.59038699999999
Kapurdha Halt,KPDH,Madhya Pradesh,SECR,"SH 26, Madhya Pradesh",22.053903000000002,79.304203
Manwala Kot Bakhtu,MKBH,,,,30.040498999999997,74.95205
Gurha Kemla,GRKA,,,,28.313585999999997,76.25524899999999
Gosaingram,GSGB,West Bengal,ER,"Murshidabad District, West Bengal",24.248003,88.211777
Bhanjpur,VZR,,,,21.95074,86.73407
Takal,TAKL,,,,21.649222,76.542513
New Runnisaidpur Halt,NRSD,,,,26.385382,85.515932
Chik Ballapur,CBP,Karnataka,SWR,"Chik Ballapur, Karnataka",13.4313153,77.7325398
Prithwirajpur,PRUR,,,,29.956914,73.757001
Narikkudi,NKK,,,,9.607657999999999,78.33712799999999
Nyoli Kalan,NKN,,,,29.189764,75.633124
Pipradih,PPDI,,,,24.9936652146,86.9944876282
Bisalehalli,BLHI,,,,13.4826117961,75.9666857568
Doddasiddavanha,DSHI,,,,14.209931,76.48848000000001
Bajekan,BJKN,,,,29.524297999999998,75.099097
Doddanatta Halt,DTT,,,,13.374454,78.13389600000001
Churaibari,CBZ,Tripura,NFR,"Churaibari, Tripura",24.433621,92.24124800000001
